Campaign;Campaign ID;Campaign type;Currency code;Audience segment;Clicks;Impr.;Cost
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Lifestyles & Hobbies › Family-Focused;3;5,902;1.94
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;Porsche Cayenne;3;435;0.23
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden;3;2,096;0.59
Porsche Pia Nov 2025 (DG) - CPC;23218773990;Demand Gen;EUR;Porsche Vehicles;3;188;0.08
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden;3;5,630;1.62
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;Beauty & Personal Care › Tanning & Sun Care Products;2;2,872;5.6
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Travel › Business Travellers;2;502;0.29
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Lifestyles & Hobbies › Frequently Attends Live Events;2;574;0.12
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Purchasing a Home › Recently Purchased a Home;2;1,357;0.53
Bison Bolton - October 2025 (DN) - CPM #2;23141866481;Display;EUR;Home & Garden;2;9,307;3.21
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;Purchasing a Home › Recently Purchased a Home;2;896;2.08
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;Home & Garden;2;4,282;1.08
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;Travel › Business Travellers;2;846;0.18
Porsche Pia Nov 2025 (GDN) - CPC;23228106658;Display;EUR;ICC_Config_Starter-90-Standard-GA-DDM;2;257;0.15
Porsche Macan SUV EL - Apr - Jul 2025 - (DG) - CPC;22480010801;Demand Gen;EUR;Porsche Vehicles;1;92;0.02
Bison Poly Max May - Jun 2025 (YT) - Bumper - CPM;22579539314;In-stream video;EUR;DIY Paint Projects;1;134;0.22
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview;22643359196;In-stream video;EUR;Beauty & Personal Care › Skin Care Products;1;359;0.91
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;Beauty & Personal Care › Skin Care Products;1;664;1.3
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;Shaving Supplies;1;79;0.06
BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM;22697168561;In-stream video;EUR;Beauty & Personal Care › Spas & Beauty Services;1;730;0.95
Porsche Pia Aug 2025 (DN) - CPC;22858066253;Display;EUR;Vehicles & Transportation › Car Enthusiasts;1;154;0.14
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;Shoppers › Value Shoppers;1;5,307;1.29
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Female;23027311084;Display;EUR;Lifestyles & Hobbies › Frequently Attends Live Events;1;1,142;0.32
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden;1;640;0.12
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden;1;716;0.25
Bison Bolton - October 2025 (DN) - CPM;23073658040;Display;EUR;Home & Garden › Home Improvement;1;1,199;0.45
Porsche Pia Oct 2025 (DG) - CPC;23086499715;Demand Gen;EUR;ICC_Cayenne_Config_Starter-90-Standard-GA-DDM;1;4;0.04
