Campaign ID,Campaign,Age,Gender,Cost,Impr.,Clicks
22509740775,HR_OTH_AC_HR_25_Q2_Klime-Besplatna-Instalacija-DG-RAC_DIS_consideration_BRA_Klime-Besplatna-Instalacija-RAC-DG_lg.com/hr/besplatna-instalacija-klima-uredaja_20250422-0003__CPC_CLK_google-ads_PRO,25 - 34,Male,307.4,760722.0,10257.0
22836207357,Škoda Kodiaq PHEV August 2025 (DG) - CPC,35 - 44,Female,404.8,755691.0,10120.0
23048113569,HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO,45 - 54,Female,369.88,436738.0,10099.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,25 - 34,Male,292.45,782907.0,10097.0
22414635975,Volkswagen Tayron - April/May 2025 (DG) - CPC,25 - 34,Female,314.71,902747.0,9954.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,35 - 44,Male,290.25,927580.0,9938.0
22836207357,Škoda Kodiaq PHEV August 2025 (DG) - CPC,35 - 44,Male,393.22,851529.0,9929.0
22689917264,HR_HE_TV_HR_25_Q2_OLED-QNED_DIS_consideration__OLED-QNED-TV-DG_https://www.lg.com/hr/oled-evo_20250613-0002__CPC_CLK_google-ads_OTH,45 - 54,Male,384.75,428495.0,9753.0
23048113569,HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO,35 - 44,Female,326.09,534569.0,9697.0
22666305736,HR_OTH_HH_HR_25_Q2_Therma-V-CAC_Therma-V-DG-CAC-SEM_lg.com/hr/dizalica-topline-zrak-voda/lg-r290-monobloc_consideration_20250520-0001_sa_DIS_OTH_CPC_CLK_OTH,45 - 54,Female,326.44,358707.0,9529.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,35 - 44,Male,706.64,895421.0,9511.0
22562758033,Škoda Kodiaq May-Jun 2025 (DG) - CPC,35 - 44,Female,321.29,569792.0,9487.0
22306588951,Volkswagen AE Boost March 2025 (DN) - CPC,35 - 44,Female,622.63,801168.0,9284.0
22999073400,Volkswagen PHEV Sep - Oct 2025 (DG) - CPC,45 - 54,Male,282.89,654762.0,9167.0
22296172251,Volkswagen AE Boost March 2025 (DG) - CPC,35 - 44,Male,235.27,475847.0,9067.0
23096285714,HR_HA_VC_HR_25_Q4_Usisavači-VCC_DIS_consideration__Usisavači-VCC-DG_lg.com/hr/usisavaci_20250525-0001__CPC_CLK_google-ads_PRO,45 - 54,Male,440.92,657733.0,8965.0
22470193148,Škoda Elroq Apr - May 2025 (DG) - CPC,65+,Male,261.8,378474.0,8939.0
22153504697,Energycom Jan - Feb 2025 (DN) - CPC,45 - 54,Female,550.88,655510.0,8916.0
