Campaign ID,Campaign,Audience segment,Cost,Impr.,Clicks
22921320684,McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,2.33,931.0,1.0
22921320684,McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV,GoogleAds - Karijere /kako-je-raditi-u-mcdonaldsu - 2025 - 30 days,0.71,242.0,1.0
22946567491,Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV,Baby & Children's Products › Baby & Children's Clothing › Children's Clothing,13.96,3494.0,1.0
22946567491,Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV,Baby & Children's Products › Childcare & Education › Early Childhood Education,8.07,2198.0,1.0
22969983779,McDonald's MOP Aug - Sep 2025 (YT) - CPV,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Breakfast Out,1.35,469.0,1.0
22972236465,McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper,Mc Donalds Food and Promotions,2.72,4273.0,1.0
22972236465,McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper,restaurants mcdonald's,1.84,3172.0,1.0
22972236465,McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper,McDonald's Chicken 30 Days,0.21,298.0,1.0
22974152623,McDonald's MOP Aug - Sep 2025 (YT) - Bumper,Food & Drink › Food › Fast Food Meals,1.3,1187.0,1.0
22980662139,VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.,Shoppers › Value Shoppers,2.75,2041.0,1.0
22982571265,McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV,Mc Donalds Food and Promotions,2.07,385.0,1.0
22982571265,McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV,restaurants mcdonald's,1.89,308.0,1.0
22994092464,McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper,Food & Dining › Frequently Dines Out › Diners by Meal › Frequently Eats Lunch Out,3.68,3434.0,1.0
22994092464,McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper,Food & Drink › Food › Fast Food Meals,1.56,1465.0,1.0
