Campaign;Campaign ID;Campaign type;Currency code;Age;Gender;Clicks;Impr.;Cost
Bison AirMax November 2025 (DN) - CPM;23224382309;Display;EUR;35 - 44;Female;347;530,007;149.04
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;25 - 34;Male;334;194,345;296.94
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;35 - 44;Male;332;173,017;273.01
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper;22643474570;In-stream video;EUR;45 - 54;Male;323;186,298;289.78
Ahmad Tea Nov 2025 (YT) - Reach Mix 2.0;23242582539;In-stream video;EUR;35 - 44;Female;316;669,501;707.55
T03_001621_HR_EFC_EpigenticSerum_AW_Mar25_Apr25_fullf_OMD_DigGR_na;22309957333;In-stream video;EUR;45 - 54;Female;306;320,778;1247.12
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;35 - 44;Female;299;440,432;266.16
Bison AirMax November 2025 (YT) - CPM;23219213253;In-stream video;EUR;45 - 54;Female;298;275,241;679.94
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;35 - 44;Female;295;184,336;147.52
Mediteranski Festival Knjige Sep 2025 (DN) - CPM - Male;23023240784;Display;EUR;45 - 54;Male;291;408,330;100.29
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;35 - 44;Female;285;467,721;363.92
T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts;22637317905;In-stream video;EUR;25 - 34;Female;284;117,616;85.76
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;35 - 44;Male;278;558,043;417.08
Loacker Jan - Feb 2025 (YT) - Reach Mix 2.0 - CPM;22162051863;In-stream video;EUR;25 - 34;Female;274;334,222;197.51
Loacker Sep - Oct 2025 (YT) - Reach Mix 2.0 - CPM;23012659355;In-stream video;EUR;25 - 34;Female;271;417,900;302.86
