Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView;22545157905;3.1;398,110
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22601760185;3;281,212
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts;22643794958;3.1;81,602
McDonald's Happy Meal May-Jun 2025 (YT) -CPV;22578284536;2;252,682
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22609346806;3.7;970,247
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts;22551605888;4.7;86,971
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22601582282;1.4;229,666
McDonald's Employer Image - June - August 2025 Performance Max - CPA;22681905575;;
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;22439414346;3.2;154,742
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperYounger;22449249724;2.1;261,496
McDonald's Grimace Exclusive June 2025 (YT) - CPV;22623078690;1.5;189,095
McDonald's McCrispy II April - May 2025 (YT) - Bumper;22452364523;3.1;997,035
McDonald's McCrispy AO May-Jun 2025 (YT) - Bumper;22600899041;3;1,036,851
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;22707031568;1.1;101,503
McDonald's IceCoffe June - August 2025 (YT) - CPV;22738910359;1;32,029
McDonald's McNuggets June 2025 - CPV;22655446491;1.9;448,969
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;22524522930;2.8;642,739
McDonald's McDelivery May - June AO 2025 (YT) - CPV;22503135265;1.7;302,411
McDonald's Breakfast Mushrooms May - Sep 2025. - Bumper;22604502871;1.5;306,775
T03_001594_HR_NFC_Q10DualActionSerum_CO_Apr25_Jun25_fullf_OMD_DigGR_TrueViewYounger;22445914925;4.2;448,535
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22647377695;2;336,753
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;1;32,754
McDonald's 1+1 May-Aug 2025 (YT) - Bumper;22577658432;2;666,493
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22605577634;3.3;599,563
T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Trueview;22339414513;3.8;563,105
Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV;22503681316;3.5;408,829
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview;22592916878;3.5;763,114
McDonald's Employer Image II May - June 2025 Performance Max - CPA;22578629980;;
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts;22599321744;3.2;353,185
T03_000033_HR_NCR_Soft_AW_Apr25_Jun25_fullf_OMD_DigGR_TrueView;22419536577;4;823,987
McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper;22540460607;2;723,044
McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - CPV;22540452712;2.1;438,331
McDonald's Maestro II April - June 2025 (YT) - CPV;22455850267;2.7;612,527
Zott Protein Apr - Jun 2025 (YT) - Trueview - CPV;22432560440;5;712,342
McDonald's Pistachio Desert II June - August 2025 (YT) - CPV;22706177735;1.5;131,247
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W35-54 - Kitman;22132437335;1.9;424,231
T03_001632_HR_NFC_CellularSerumRange_AW_Mar25_May25_fullf_OMD_DigGR_Bumper;22329334281;4.7;845,994
McDonald's Breakfast Mushrooms May 2025 - Bumper;22515626597;1.9;491,521
McDonald's Maestro III June-August 2025 (YT) - Bumper;22738160776;1.1;55,344
T03_000085_HR_NSU_UVFace_CO_Mar25_May25_fullf_OMD_DigGR_Nonskippable In-market;22328795888;3.3;737,960
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22701067602;1.4;119,505
T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_trueview;22249484069;1.9;335,211
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Bumper - Male;22366950856;1.2;179,738
Nissan All range Apr - May 2025 (DN) - CPM;22441690734;11.4;1,626,749
Nissan QQ June 2025 - Performance Max;22631927985;;
McDonald's Employer Image Dugopolje  Feb- Mar 2025 Performance Max - CPA;22232159977;;
McDonald's 1+1 Apr-May 2025 (YT) - Bumper;22491848552;3.1;1,092,804
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22686046442;2.1;386,343
McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper;22684499418;1.6;451,036
McDonald's McDelivery May - June AO 2025 (YT) - Bumper;22503142066;1.8;563,265
T03_000158_HR_NDO_BW(unisex)_AW_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male;22366896424;1.8;74,984
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-34 - Consultant;22126220538;2.2;358,587
T03_000085_HR_NSU_UVFace_AW_Mar25_May25_fullf_OMD_DigGR_Shorts;22328716745;3.8;99,181
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22642254895;1.7;408,131
T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Female;22363752698;1.9;201,023
T03_001594_HR_NFC_Q10DualActionSerum_AW_Apr25_Jun25_fullf_OMD_DigGR_BumperOlder;22439393505;1.9;219,521
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;22601549246;1.6;263,540
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;22673043328;1.7;257,787
McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;22574478389;1.5;486,818
McDonald's McDelivery Apr - May 2025 (YT) - CPV;22433452242;2.4;575,463
T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_Bumpers;22339259423;2;376,456
T03_000227_HR_NFC_CellularLuminous630_AW_Feb25_Apr25_fullf_OMD_DigGR_bumper;22243238376;1.9;425,760
202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-54 - Couple;22136208178;1.8;479,835
T03_001506_HR_NBD_Luminous630Body_AW_Mar25_May25_fullf_OMD_DigGR_TrueView;22343045254;2.8;271,056
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts;22710781375;1.1;42,601
McDonald's Grimace May - July 2025 (YT) - CPV;22728306162;1.3;81,193
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;22530853916;3;599,079
McDonald's McDelivery Apr - May 2025 (YT) - Bumper;22433488221;2.1;885,869
McDonald's Employer Image II May - June 2025 Demand Gen - CPA;22575094499;5.7;631,394
202505//Ceresit//CeresitTiling//Brand Campaign;22596610507;3.9;488,540
Zott Jogobella Mar - Apr 2025 (YT) - Bumper - CPM;22364179833;1.5;296,699
McDonald's Stripsi June - July 2025 (YT) - Bumper;22739104237;1;48,806
McDonald's 1+1 Apr-May 2025 (YT) - CPV;22485305991;2.8;617,694
T03_000085_HR_NSU_UVFace_AW_Mar25_May25_fullf_OMD_DigGR_Bumper;22322179083;3.8;845,368
Zott Protein Apr - Jun 2025 (DN) - CPM;22426125246;6.8;1,204,401
McDonald's Employer Image II May - June 2025 (YT) - CPV;22633085185;1.8;281,242
McDonald's Coffee Monday AO May - Jun 2025 (YT) - CPV;22615794446;1.9;413,654
T03_000158_HR_NDO_BW(unisex)_CO_Mar25_Apr25_fullf_OMD_DigGR_Trueview - Male;22363394816;2;223,478
