Campaign;Campaign ID;Avg. impr. freq. / user;Unique users
Zott Monte May - Jul 2025 (YT) - Bumper - CPM;22554802796;1.9;478,407
McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV;23057401193;1.1;12,217
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview;22686046442;4.5;841,947
McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC;22921219638;6.3;676,086
McDonald's McDelivery July - September 2025 (YT) - Bumper;22739006393;2.9;1,063,826
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;22876405666;4.7;856,863
McDonald's Breakfast AO Sep - Dec 2025 (YT) - CPV;23051178150;1.1;13,115
McDonald's McNuggets II July - August 2025 - CPV;22818941470;2.3;590,615
McDonald's Breakfast July - September 2025 (YT) - CPV;22743236866;2.2;448,206
McDonald's McCrispy July 2025 (YT) - CPV;22738912700;1.9;483,314
McDonald's Stripsi June - July 2025 (YT) - CPV;22739124367;1;4,244,029
McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV;23051723493;1.2;29,372
McDonald's Coffee July - September 2025 (YT) - Bumper;22733055054;3.3;956,138
Nissan QQ July 2025 (DN) - CPM;22763308746;8.4;1,603,147
McDonald's McCrispy July 2025 (YT) - Bumper;22742489014;2.1;1,013,426
Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV;23008688560;2.9;268,607
202509//Ceresit//CE&CS25//Brand Campaign;23035480243;3.8;328,031
McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - CPV;22684510476;2.7;743,494
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview;22601760185;2.9;331,351
McDonald's HM Lil McD's July 2025 (YT) - Bumper;22775346894;1.3;399,058
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview;22592916878;4.1;1,166,159
