Campaign;Account;Campaign ID;Unique users;Avg. impr. freq. / user
DG_OMD_SI-SL_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.;Philips_SLO;22689604765;322,961;11.3
PMAX_OMD_SI-SL_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_AO;Philips_SLO;22854651094;;
202507//Bref//Power Active RL 24//Easier Way campaign//video//Trueview;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22800836042;859,872;2.9
Kaufland - BTS -  1. i 2. val - Aug - Sep 2025 (DN) - CPC;Kaufland_Display_HR;22902769159;466,671;4.4
SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;23018167917;261,620;3.6
Kaufland - Image - Impuls - FIMA - Split - Ravne njive - Jun-Jul 2025 (DN) - CPC;Kaufland_Display_HR;22719312160;93,242;3.6
Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight;HR_Bosch_SDA_GDN_404Agency_EUR_AlwaysOn;22401215921;94,123;8.4
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Other languages;Kaufland_Display_HR;22609066737;1,157,367;16.7
Kaufland GDN Godišnja 2026 (DN);Kaufland_Display_HR;19354219109;1,318,536;13.9
Kaufland - Impuls - Online leaflets - Back to school - Aug-Sep 2025 (DN) - CPC;Kaufland_Display_HR;22942079495;468,434;4.1
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Polish language;Kaufland_Display_HR;22609067019;180,644;13.2
Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC;Kaufland_Display_HR;23064392874;74;1.8
Kaufland - Impuls - Kaufland Card - Blue Tuesday - Aug 2025 (DN) - CPC;Kaufland_Display_HR;22922001768;403,261;4
Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC;Kaufland_Display_HR;23055092044;6,216;1.9
Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC;Kaufland_Display_HR;22973235801;591,030;5.1
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Slovenian language;Kaufland_Display_HR;22609067442;204,302;10.4
Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC;Kaufland_Display_HR;22939420753;60,835;2
202505//Perwoll//Perwoll_FCA Touch of New B 25//Touch of New//Trueview;CEE//HR//L//SPD//Expressive Clothes//Perwoll;22658175089;1,549,069;6.2
Kaufland - Image - Impuls - Other - Otvaranje konkurencije - Vinkovci - Jun-Jul 2025 (DN) - CPM;Kaufland_Display_HR;22715554283;182,960;7
Kaufland - Image - Impuls - FIMA - Split - Ravne njive - 100ti kupac - Split - Jul-Aug 2025 (DN) - CPM;Kaufland_Display_HR;22829619343;251,520;3.3
Kaufland - Stranci - Filipino - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22783166083;1,151;5.9
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - German language;Kaufland_Display_HR;22619003188;594,902;16.8
Kaufland - Impuls - Kaufland Card - Blue Tuesday - July 2025 (DN) - CPC;Kaufland_Display_HR;22832422795;325,830;4.7
Kaufland - SuperSommer - 1., 2., 3., 4., 5., 6. i 7. val - 2025 (DN) - CPM - Italian language;Kaufland_Display_HR;22615379438;103,222;17.9
202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22614852371;751,463;2.1
Kaufland - Stranci - Hindi - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22783135600;79,618;9.8
Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DN) - CPM;Kaufland_Display_HR;22935327806;170,925;6.6
Kaufland - Dex Rock - Jul-Aug 2025 (DN) - CPM;Kaufland_Display_HR;22797257519;642,248;6.9
202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54;CEE//HR//B//Hair Styling//got2b Styling//got2b;22608337149;583,120;2.2
Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC;Kaufland_Display_HR;23055052468;32,985;2.3
XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight;HR_Bosch_MDA_GDN_404Agency_EUR_AlwaysOn;22562643721;703,765;5.8
202507//Bref//Power Active RL 24//Easier Way campaign//video//Bumper;CEE//HR//L//TWC//Clean & fresh toilet//Bref;22794974865;871,225;2.7
Kaufland - Stranci - Punjabi - Jul 2025 (DN) - CPM;Kaufland_Display_HR;22779254867;375;7.1
Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM;Porsche Audi 2023;22942514632;1,127,128;3.8
Volkswagen PHEV Sep - Oct 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;22999073400;364,989;5.9
Škoda Kodiaq PHEV August 2025 (YT) - CPM;Porsche Škoda 2023;22845894406;830,533;3.3
Porsche Moon May - Jul 2025 - (DG) - CPC;Porsche Moon 2023;22575439607;30,635;1.4
Škoda Superb PHEV August 2025 (YT) - CPM;Porsche Škoda 2023;22845574717;1,132,657;4.2
Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM;Porsche Volkswagen osobna vozila 2023;22718937352;1,143,471;3.9
Porsche Moon May - Jul 2025 - (DN) - CPC;Porsche Moon 2023;22575576404;2,249;1.6
Porsche Moon May - Jul 2025 - (YT) - VVC;Porsche Moon 2023;22579330750;32,957;1.1
Volkswagen PHEV Sep - Oct 2025 (PMAX) - CPA;Porsche Volkswagen osobna vozila 2023;23005255190;;
Škoda Kodiaq PHEV August 2025 (DG) - CPC;Porsche Škoda 2023;22836207357;338,036;7.3
Škoda Superb PHEV August 2025 (DG) - CPC;Porsche Škoda 2023;22841776748;487,657;13.2
Volkswagen PHEV Sep - Oct 2025 (YT) - CPM;Porsche Volkswagen osobna vozila 2023;23005360310;268,457;1.6
Volkswagen PHEV Jun-Aug 2025 (DG) - CPC;Porsche Volkswagen osobna vozila 2023;22719192229;908,702;11.2
Audi A6 Aug - Sep 2025 (DN) - CPM;Porsche Audi 2023;22938933272;678,140;8.2
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22545157905;512,238;3
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22642352104;1,095,935;4.4
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Trueview;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22592916878;1,166,159;4.1
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22637616678;662,643;3.5
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22601582282;246,025;1.5
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22609346806;799,397;2.8
T03_000098_HR_NSU_ProtectMoisture_CO_May25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22551605888;38,024;2.9
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22707031568;1,235,248;5
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22601760185;331,351;2.9
202509//Ceresit//Ceresit CT19;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23051949030;29,538;2.2
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Trueview;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594564050;421,730;2.4
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22643794958;185,336;5.4
T03_001636_HR_NFC_CellularEpigenetics_AW_Sep25_Oct25_fullf_OMD_DigGR_VRC_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22911143511;853,816;3.8
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22701067602;1,267,375;5.7
202505//Persil//Persil_FCN YAGYB ANZ & EU B 25//YAGYB ANZ & EU//video//Bumper;CEE//HR//L//HDD Leading Premium//Perfect Cleanliness//Persil;22592918381;1,591,029;4
202505//Syoss Care//Syoss_CAR Keratin RL 25//Syoss_CAR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22632678660;1,529,089;3.8
T03_000098_HR_NSU_ProtectMoisture_AW_May25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22551416534;582,432;2.9
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_TrueView;HR_Nivea_YouTube_x_OMD_EUR;22673212687;390,743;3.1
T03_001632_HR_NFC_CellularSerumRange_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22673043328;704,035;2.9
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22642254895;834,000;3.2
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCM_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22867060452;615,097;3.8
T03_000286_HR_NFL_MicellarExtra_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22601549246;275,860;1.7
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22599321744;279,603;2.8
202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//TrueView;CEE//HR//B//Hair Care//Gliss Care//Gliss;22629454076;823,307;2.7
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Bumper;CEE//HR//B//Hair Care//Schauma Family//Schauma;22524522930;1,147,700;3.1
T03_001642_HR_NFC_Luminous630Glow_AW_Jun25_Aug25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22647377695;691,618;4.3
T03_001630_HR_NDO_DermaControl(unisex)_AW_Aug25_Oct25_fullf_OMD_DigGR_VRCF_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22876405666;856,863;4.7
202509//Ceresit//CE&CS25//Brand Campaign;CEE//HR//A//Tiling P​ro//Tiling Pro//Cere​sit;23035480243;328,031;3.8
202505//Syoss Styling//Syoss_MBR Keratin RL 25//Syoss_MBR Keratin RL 25//video//Bumper;CEE//HR//B//Hair Colorants//Syoss Color//Syoss Color;22594603356;555,742;1.9
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Bumper//W25-54;CEE//HR//L//ADW//Disburdening//Somat;22082451351;257,143;1.1
T03_000286_HR_NFL_MicellarExtra_CO_Jun25_Jul25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22601647835;138,426;3.5
202501//Somat//Somat Excellence Premium 5in1//5in1 Cap - Life happens//video//Trueview//W25-54;CEE//HR//L//ADW//Disburdening//Somat;22082345952;233,586;1.1
T03_001642_HR_NFC_Luminous630Glow_CO_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22686046442;841,947;4.5
202505//Schauma//Schauma_CAR Long Hair B 25//Schauma_CAR Long Hair B 25//video//Trueview;CEE//HR//B//Hair Care//Schauma Family//Schauma;22530853916;837,612;3.9
T03_001636_HR_NFC_CellularEpigenetics_CO_Sep25_Oct25_fullf_OMD_DigGR_TrueView_oKPI;HR_Nivea_YouTube_x_OMD_EUR;22928895972;455,191;2
202506//Gliss//Gliss_CAR Liquid Silk LX 24//Gliss_CAR Liquid Silk LX//video//Bumper;CEE//HR//B//Hair Care//Gliss Care//Gliss;22629474629;978,109;2.4
T03_000031_HR_NBD_Q10Firming_AW_Jun25_Jul25_fullf_OMD_DigGR_Bumper;HR_Nivea_YouTube_x_OMD_EUR;22605577634;915,208;3.1
T03_001487_HR_NME_MensCareVariousProducts_AW_Jun25_Aug25_fullf_OMD_DigGR_Shorts;HR_Nivea_YouTube_x_OMD_EUR;22710781375;472,098;4.4
T03_000033_HR_NCR_Soft_AW_Jun25_Aug25_fullf_OMD_DigGR_Trueview;HR_Nivea_YouTube_x_OMD_EUR;22642276246;768,229;2.8
T03_001637_HR_NFC_Q10UVSerum_AW_Jul25_Aug25_fullf_OMD_DigGR_VRC;HR_Nivea_YouTube_x_OMD_EUR;22759159350;1,286,156;4.7
McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper;McDonald's EUR;22994092464;903,015;2.4
DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.;Philips Hrvatska EUR;23025722586;99,268;7.1
McDonald's MOP Sep - Nov 2025 (YT) - Bumper;McDonald's EUR;23038275832;273,616;1.4
McDonald's HM Lil McD's July 2025 (YT) - CPV;McDonald's EUR;22784870398;388,323;1.7
lactogyn_june_2025_display_cpm;JGL Croatia EUR;22791210171;1,277,504;11.7
McDonald's Opusteno Dopusteno II August 2025 (YT) - CPV;McDonald's EUR;22895928142;489,126;2.4
McDonald's HM Lil McD's July 2025 (YT) - Bumper;McDonald's EUR;22775346894;399,058;1.3
Awareness_CPM_Croatia_YouTube_Hidra_EquityI-YT-April-July2025;Croatia_Hidra;22418606613;472,309;1.6
