Ad format	Campaign	Campaign ID	Avg. impr. freq. / user	Unique users
Shorts	BIC Miss Soleil Jun - Aug 2025 (YT) - Reach Mix - CPM	22697168561	3.6	379,130
Bumper	T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Bumper	22643474570	1.7	559,885
Skippable in-stream	T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Trueview	22643359196	1.5	410,408
Shorts	T03_000008_HR_ESU_SunFaceRange_AW_Apr25_Jul25_fullf_OMD_DigGR_Shorts	22637317905	2.3	350,727
In-feed	Porsche Pia Sept 2025 (DG) - CPC	22978900537	9	1,085,024
Shorts	Porsche Pia Sept 2025 (DG) - CPC	22978900537	13.5	164,147
In-feed	Demand Gen Croatia September 2025 KeyVisuals - PH	22970619062	2.1	141,961
In-feed	Philips_Mison_Avent_Demand_Aug_2025	22869392806	2.4	112,408
In-feed	Demand Gen Croatia August 2025 Domestic Appliances - Versuni	22865225243	6.9	441,681
In-feed	Demand Gen Croatia August 2025 KeyVisuals - PH	22865164298	2.4	247,362
In-feed	Philips_Mison_KeyVisual_ Lumea_Demand_ Aug_2025	22859713113	3.1	521,042
In-feed	Demand Gen Croatia Domestic Appliances July 2025 - Versuni	22749774370	4.7	539,179
Shorts	Demand Gen Croatia Domestic Appliances July 2025 - Versuni	22749774370	2.2	9,847
Skippable in-stream	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310	1.4	153,821
In-feed	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310		
Shorts	Volkswagen PHEV Sep - Oct 2025 (YT) - CPM	23005360310	1.6	138,926
In-feed	Volkswagen PHEV Sep - Oct 2025 (DG) - CPC	22999073400	3.9	330,258
Shorts	Volkswagen PHEV Sep - Oct 2025 (DG) - CPC	22999073400	9.4	92,071
Skippable in-stream	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	2.6	597,594
In-feed	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	1.3	266,927
Shorts	Škoda Kodiaq PHEV August 2025 (YT) - CPM	22845894406	2.8	306,208
Skippable in-stream	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	3	896,980
In-feed	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	1.6	451,837
Shorts	Škoda Superb PHEV August 2025 (YT) - CPM	22845574717	3.4	379,155
In-feed	Škoda Superb PHEV August 2025 (DG) - CPC	22841776748	11.1	474,232
Shorts	Škoda Superb PHEV August 2025 (DG) - CPC	22841776748	8.1	140,621
In-feed	Škoda Kodiaq PHEV August 2025 (DG) - CPC	22836207357	5.7	318,380
Shorts	Škoda Kodiaq PHEV August 2025 (DG) - CPC	22836207357	6.3	105,341
Skippable in-stream	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	3.4	981,810
In-feed	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	1.9	525,935
Shorts	Cupra Formentor Jul - Aug 2025 (YT) - CPM	22779402390	3.2	623,713
In-feed	Cupra Formentor Jul - Aug 2025 (DG) - CPC	22779402381	9.4	999,852
In-feed	Volkswagen PHEV Jun-Aug 2025 (DG) - CPC	22719192229	6.9	858,360
Shorts	Volkswagen PHEV Jun-Aug 2025 (DG) - CPC	22719192229	17.2	248,104
Skippable in-stream	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	2.7	877,026
In-feed	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	1.1	93,372
Shorts	Volkswagen PHEV Jun-Aug 2025 (YT) - Reach Mix - CPM	22718937352	3.3	575,477
Bumper	202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Bumper	22623704862	3.1	1,121,725
Non-skippable in-stream	202506//Weisser Riese//Re-imagine Scent_Deo Fresh//Laundry Monster//video//Trueview	22623626124	3.7	907,403
In-feed	Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC	23064392874	1.8	74
Shorts	Kaufland - Impuls - Nova Gradiška - Sept-Oct 2025 (DG) - CPC	23064392874		
In-feed	Kaufland - Impuls - Ivanec - Sept-Nov 2025 (DG) - CPC	23055092044	1.9	6,216
In-feed	Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC	23055052468	1.9	28,396
Shorts	Kaufland - Impuls - Split - Ravne njive - Sept-Nov 2025 (DG) - CPC	23055052468	2.9	6,762
Skippable in-stream	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	2.9	152,436
In-feed	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	2.1	102,639
Shorts	SusiliceSep25_MDA_LaundryCare_Dryers_Flight_GGL	23018167917	3.8	75,591
Skippable in-stream	Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC	23005725960	1.9	63,908
Shorts	Kaufland - Image - CSR - Vatrogasci - Sept-Oct 2025 (YT) - VVC	23005725960	1.4	53,594
Skippable in-stream	Kaufland - Image - Cjenovna - Sep 2025 (YT) - VVC	22981115199	2.4	129,480
Shorts	Kaufland - Image - Cjenovna - Sep 2025 (YT) - VVC	22981115199	2.3	165,393
In-feed	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC	22973235801	3.7	540,052
Shorts	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (DG) - CPC	22973235801	7.8	126,604
Skippable in-stream	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (YT) - CPM	22973170974	2.1	620,917
In-feed	Kaufland - Impuls - Image - Price - Cjenovna kampanja - Sept-Oct 2025 (YT) - CPM	22973170974	1.8	467,582
Skippable in-stream	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	2	492,795
In-feed	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	2	518,808
Bumper	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	2	674,602
Shorts	Audi A6 Aug - Sep 2025 (YT) - Reach mix - CPM	22942514632	3.1	288,260
In-feed	Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC	22939420753	2	60,695
Shorts	Kaufland - Impuls - Competition - NEO konkurencija - Neviđena rasprodaja - Jankomir - Aug 2025 (DG) - CPC	22939420753	1.1	185
Shorts	Kaufland - Dex Rock - Jul-Aug 2025 (YT) - CPM	22821633494	4.7	253,560
Skippable in-stream	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	1.3	72,378
Shorts	Kaufland - Image - CSR - Vatrogasci - Jun-Jul 2025 (YT) - VVC	22639102988	1.5	108,943
Bumper	202503// Got2b_STY Topseller B 25_Bumper_16x9_6s_BeachMatt_ChillHold//6sec//CPM//W18-54	22614852371	2.1	751,463
Non-skippable in-stream	202503// Got2b_STY Topseller B 25_OLV_16x9_15s_RangeBeachMattTwistedPowderful-Master_ChillHold&HeatProtection&VolumeBoost//15sec//CPM//W18-54	22608337149	2.2	583,120
Skippable in-stream	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	1.1	32,585
In-feed	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	1.1	237
Shorts	Porsche Moon May - Jul 2025 - (YT) - VVC	22579330750	1.1	152
In-feed	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	1.3	23,253
Shorts	Porsche Moon May - Jul 2025 - (DG) - CPC	22575439607	1.6	8,339
Skippable in-stream	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	3.5	360,637
In-feed	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	3	402,102
Shorts	XXLhladnjaciMay25_MDA_Refrigeration_Fridges_Flight	22562643721	7.8	211,312
Skippable in-stream	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	3.3	32,095
In-feed	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	6.7	90,473
Shorts	Unlimited10Apr25_SDA_IndoorCleaning_VacuumCleaners_Flight	22401215921	5	16,770
Skippable in-stream	Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC	22268416700	1.9	71,702
Shorts	Kaufland - Image - Platforma - Feb-Mar 2025 (YT) - VVC	22268416700	1.9	108,832
In-feed	SLO - Lonci&Poklopci - Feb 2024 (Discovery) - CPA	20878469968	1.1	3,911
Shorts	SLO - Lonci&Poklopci - Feb 2024 (Discovery) - CPA	20878469968		
In-feed	HR_OTH_AC_HR_25_Q3_Klime-DG-RAC_DIS_consideration_BRA_Klime-RAC-DG_lg.com/hr/klima-uredaji_20250916-0003__CPC_CLK_google-ads_PRO	23048113569	2.9	290,668
Non-skippable in-stream	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//trueview	22339790134	1.8	431,651
Bumper	202503//Taft Spray&Mousse//Taft_STY Aloe Boost B 25//Taft_STY Aloe Boost B 25//video//bumper	22339783192	1.8	576,422
