Ad format,Campaign,Campaign ID,Avg. impr. freq. / user,Unique users
Bumper,McDonald's Snack Menu AO III December 2025 (YT) - Bumper,23330173406,1.9,435518.0
Skippable in-stream,McDonald's Fries December 2025 (YT) - CPV,23315136637,2.7,430876.0
In-feed,McDonald's Adventski kalendar December 2025 (YT) - Bumper,23314665535,2.5,203410.0
Bumper,McDonald's Adventski kalendar December 2025 (YT) - Bumper,23314665535,1.9,609493.0
Skippable in-stream,McDonald's Adventski kalendar December 2025 (YT) - CPV,23310621005,2.5,454796.0
In-feed,McDonald's Fries December 2025 (YT) - Bumper,23305942254,1.3,332670.0
Bumper,McDonald's Fries December 2025 (YT) - Bumper,23305942254,1.9,647529.0
In-feed,DG_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_DG_14.11.-31.12.2025.,23283832784,3.3,18151.0
Skippable in-stream,VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.,23283807728,2.3,456882.0
In-feed,VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.,23283807728,2.5,349674.0
Shorts,VID_OMD_HR-HR_GB_S_ShavingUnd_ShavingUndivided_NA_GOO_BRD_Shaving_YT_14.11.-31.12.2025.,23283807728,2.7,207864.0
Skippable in-stream,McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV,23280469343,3.2,305690.0
Shorts,McDonald's Employer Image IV - Young Adults - Nov - Dec 2025 (VVC) - CPV,23280469343,2.1,45845.0
Skippable in-stream,McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC,23279927975,2.4,64036.0
In-feed,McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC,23279927975,6.0,574402.0
Shorts,McDonald's Employer Image IV Nov - Dec 2025 (Demand Gen) - CPC,23279927975,6.9,57250.0
Skippable in-stream,prolife_november_2025_youtube_cpm,23257344616,3.1,862446.0
In-feed,prolife_november_2025_youtube_cpm,23257344616,3.4,514011.0
Skippable in-stream,McDonald's McDelivery Wolt II November 2025 (YT) - CPV,23246559597,2.3,169343.0
In-feed,McDonald's McDelivery Wolt II November 2025 (YT) - Bumper,23246559240,1.3,198556.0
Bumper,McDonald's McDelivery Wolt II November 2025 (YT) - Bumper,23246559240,2.1,206662.0
Skippable in-stream,McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - CPV,23240243956,2.4,494355.0
Skippable in-stream,VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025,23237552771,1.3,122834.0
In-feed,VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025,23237552771,2.0,239727.0
Bumper,VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025,23237552771,2.0,288971.0
Shorts,VID_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_YT_7.11.-30.11.2025,23237552771,3.2,116528.0
In-feed,DG_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_DG_1.11.-31.12.2025.,23232127389,3.1,138110.0
Skippable in-stream,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.,23232127383,2.1,247990.0
In-feed,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.,23232127383,1.6,301837.0
Shorts,VID_OMD_HR-HR_GB_BEA_HairCare_DryerCore_NA_GOO_BRD_Flame_YT_1.11.-31.12.2025.,23232127383,2.5,185698.0
In-feed,McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper,23230869507,1.7,557376.0
Bumper,McDonald's Snack Menu AO II Nov - Dec 2025 (YT) - Bumper,23230869507,2.3,690151.0
Skippable in-stream,VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.,23223956797,2.2,470028.0
In-feed,VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.,23223956797,2.4,562299.0
Bumper,VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.,23223956797,2.4,525909.0
Shorts,VID_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_YT_1.11.-15.12.2025.,23223956797,2.7,242806.0
In-feed,DG_OMD_BA-BS_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_OneBlade_DG_Consideration_1.11.-15.12.2025.,23214457857,3.7,18666.0
Skippable in-stream,McDonald's McDelivery AO Nov 2025 (YT) - CPV,23204814416,1.9,251482.0
In-feed,McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - Bumper,23201479909,1.6,80876.0
Bumper,McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - Bumper,23201479909,2.2,90440.0
Skippable in-stream,McDonald's Farmburger Oct - Nov 2025 (YT) - CPV,23201466461,1.8,212092.0
In-feed,McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper,23201466458,1.4,388705.0
Bumper,McDonald's Farmburger Oct - Nov 2025 (YT) - Bumper,23201466458,1.7,424857.0
In-feed,McDonald's McDelivery AO Nov 2025 (YT) - Bumper,23199593493,1.3,233913.0
Bumper,McDonald's McDelivery AO Nov 2025 (YT) - Bumper,23199593493,1.4,290153.0
Skippable in-stream,McDonald's MOP Sep - Nov OSIJEK 2025 (YT) - CPV,23197204073,2.3,80450.0
In-feed,DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_20.10.-31.12.2025.,23172997630,1.8,111666.0
