Ad format;Campaign;Account;Campaign ID;Clicks;CTR;Impr.;Avg. CPC;Avg. CPM;TrueView views;TrueView avg. CPV;Cost;Conversions;Cost / conv.
In-feed;McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;McDonald's EUR;22574478389;5;0.00%;303,718;22.66;0.37;5,977;0.02;113.3;16.8;6.75
Bumper;McDonald's Happy Meal May-Jun 2025 (YT) -Bumper;McDonald's EUR;22574478389;511;0.14%;372,668;1.34;1.84;0;0;686.61;152.99;4.49
Bumper;Zott Monte May - Jul 2025 (YT) - Bumper - CPM;Zott EUR;22554802796;2,224;0.15%;1,489,958;1.12;1.68;0;0;2496.35;0;0
Shorts;Zott Monte May - Jul 2025 (YT) - Bumper - CPM;Zott EUR;22554802796;1,400;0.19%;727,796;0.36;0.69;21,033;0.02;503.99;0;0
Skippable in-stream;Zott Monte May - Jul 2025 (YT) - TrueView - CPV;Zott EUR;22548433632;6,210;0.28%;2,249,296;1.05;2.89;1,342,236;0;6490.42;0;0
In-feed;Zott Monte May - Jul 2025 (YT) - TrueView - CPV;Zott EUR;22548433632;13;0.01%;207,370;8.07;0.51;11,632;0.01;104.95;0;0
Shorts;Zott Monte May - Jul 2025 (YT) - TrueView - CPV;Zott EUR;22548433632;955;0.34%;277,599;0.16;0.56;12,604;0.01;155;0;0
Skippable in-stream;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;Philips Hrvatska EUR;22545555255;2,675;0.20%;1,339,446;0.71;1.42;384,462;0;1898.24;173.29;10.95
In-feed;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;Philips Hrvatska EUR;22545555255;11;0.00%;579,207;11.33;0.22;12,921;0.01;124.61;16.53;7.54
Shorts;VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.05.-30.06.2025;Philips Hrvatska EUR;22545555255;696;0.10%;679,770;0.4;0.41;7,384;0.04;278.33;36;7.73
In-feed;McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper;McDonald's EUR;22540460607;33;0.00%;821,688;15.92;0.64;23,020;0.02;525.37;47.93;10.96
Bumper;McDonald's Coffee Monday AO May - Jun 2025 (YT) - Bumper;McDonald's EUR;22540460607;969;0.18%;551,146;1.01;1.77;0;0;974.08;345.5;2.82
Skippable in-stream;McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - CPV;McDonald's EUR;22540452712;1,472;0.18%;823,563;2.04;3.64;502,506;0.01;2999.16;1,306.36;2.3
In-feed;McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper;McDonald's EUR;22530427806;144;0.01%;2,546,701;6.96;0.39;42,912;0.02;1002.6;244.6;4.1
Bumper;McDonald's Srijeda koja vrijedi više AO May-Jun 2025 (YT) - Bumper;McDonald's EUR;22530427806;485;0.12%;407,061;1.02;1.22;0;0;496.97;148.58;3.34
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;Philips Hrvatska EUR;22519829013;50;0.09%;57,406;2.06;1.79;20,624;0;102.9;5;20.58
In-feed;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;Philips Hrvatska EUR;22519829013;16;0.00%;402,307;6.56;0.26;8,654;0.01;104.91;14.86;7.06
Bumper;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;Philips Hrvatska EUR;22519829013;794;0.09%;840,039;1.45;1.37;0;0;1153.54;15.22;75.81
Shorts;VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_Curler 15.04.-15.06.2025.;Philips Hrvatska EUR;22519829013;481;0.16%;301,420;0.26;0.42;4,101;0.03;125.59;53.01;2.37
In-feed;McDonald's Trust I May 2025 (YT) - Bumper;McDonald's EUR;22518745594;29;0.00%;809,552;6.28;0.22;8,603;0.02;182.03;32;5.69
Bumper;McDonald's Trust I May 2025 (YT) - Bumper;McDonald's EUR;22518745594;1,301;0.11%;1,154,761;1.01;1.14;0;0;1317.92;509.06;2.59
Skippable in-stream;McDonald's Breakfast Mushrooms May 2025 - CPV;McDonald's EUR;22515688781;548;0.13%;413,028;2.73;3.63;271,953;0.01;1498.18;600.68;2.49
In-feed;McDonald's Breakfast Mushrooms May 2025 - Bumper;McDonald's EUR;22515626597;10;0.00%;356,222;8.91;0.25;4,409;0.02;89.11;32;2.78
Bumper;McDonald's Breakfast Mushrooms May 2025 - Bumper;McDonald's EUR;22515626597;686;0.13%;529,220;1.01;1.31;0;0;690.84;281.27;2.46
Skippable in-stream;McDonald's Trust I May 2025 (YT) - CPV;McDonald's EUR;22515310217;972;0.11%;920,530;3.6;3.8;619,240;0.01;3499.24;967.39;3.62
In-feed;VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;Philips Hrvatska EUR;22514122692;4;0.00%;208,977;23.4;0.45;10,592;0.01;93.6;8;11.7
Bumper;VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;Philips Hrvatska EUR;22514122692;1,325;0.11%;1,229,141;1.17;1.26;0;0;1546.24;31.61;48.92
Shorts;VID_OMD_HR-HR_OHC_ID_InterdentalUndiv_InterdentalUndiv_NA_GOO_BRD_PowerFlosser_5.5.-4.7.;Philips Hrvatska EUR;22514122692;913;0.10%;923,900;0.61;0.61;16,026;0.04;561.16;73.74;7.61
Skippable in-stream;Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV;Zott EUR;22503681316;290;0.04%;767,213;7.86;2.97;573,761;0;2278.4;0;0
In-feed;Zott Jogobella May - Jun 2025 (YT) - TrueView - CPV;Zott EUR;22503681316;26;0.01%;467,889;8.53;0.47;28,919;0.01;221.78;0;0
In-feed;McDonald's McDelivery May - June AO 2025 (YT) - Bumper;McDonald's EUR;22503142066;15;0.00%;402,171;9.43;0.35;8,453;0.02;141.5;18.5;7.65
Bumper;McDonald's McDelivery May - June AO 2025 (YT) - Bumper;McDonald's EUR;22503142066;601;0.12%;521,101;1.43;1.65;0;0;859.19;12.1;70.98
Skippable in-stream;McDonald's McDelivery May - June AO 2025 (YT) - CPV;McDonald's EUR;22503135265;494;0.11%;442,653;3.04;3.39;277,233;0.01;1500.61;652.96;2.3
Bumper;Zott Jogobella May - Jun 2025 (YT) - Bumper - CPM;Zott EUR;22500190544;1,024;0.09%;1,078,038;1.47;1.39;0;0;1500.24;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Intimate_W_1.5.-30.6.;Philips Hrvatska EUR;22499484667;206;0.08%;273,485;1.96;1.47;102,074;0;403.11;29.14;13.83
