Ad format;Campaign;Campaign ID;Clicks;Impr.;Cost;Conversions
Skippable in-stream;VID_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_4502236229;21209368972;0;0;0;0
In-feed;VID_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_4502236229;21209368972;0;0;0;0
Bumper;VID_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_4502236229;21209368972;0;0;0;0
In-feed;DG_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_4502236229;21198681579;0;0;0;0
Shorts;DG_OMD_BA-EN_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_4502236229;21198681579;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom_YT_15.4-4.6.2024.;21194215411;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom_YT_15.4-4.6.2024.;21194215411;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom_YT_15.4-4.6.2024.;21194215411;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom_DG_15.4-4.6.2024.;21190851515;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_Multigroom_DG_15.4-4.6.2024.;21190851515;0;0;0;0
Skippable in-stream;prolife_april_2024_youtube_cpm_reachmix_2.0;21174622543;0;0;0;0
In-feed;prolife_april_2024_youtube_cpm_reachmix_2.0;21174622543;0;0;0;0
Bumper;prolife_april_2024_youtube_cpm_reachmix_2.0;21174622543;0;0;0;0
Shorts;prolife_april_2024_youtube_cpm_reachmix_2.0;21174622543;0;0;0;0
Skippable in-stream;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_5.4.-15.6.2024.;21171450382;0;0;0;0
In-feed;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_5.4.-15.6.2024.;21171450382;0;0;0;0
Bumper;VID_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_YT_5.4.-15.6.2024.;21171450382;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_BEA_IPLHairRemoval_IPLAcc.&Undivided_NA_GOO_BRD_Lumea_DG_5.4.-15.6.2024.;21167928134;0;0;0;0
In-feed;DG_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_1.4.-15.6.2024.;21139222760;0;0;0;0
Shorts;DG_OMD_HR-HR_MCC_MCC_MCCUnd_MCCUndivided_NA_GOO_BRD_Avent_1.4.-15.6.2024.;21139222760;0;0;0;0
Skippable in-stream;fungilac_march_2024_youtube_cpm_reachmix_2.0;21104447457;0;0;0;0
In-feed;fungilac_march_2024_youtube_cpm_reachmix_2.0;21104447457;0;0;0;0
Shorts;fungilac_march_2024_youtube_cpm_reachmix_2.0;21104447457;0;0;0;0
In-feed;DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_DG_20.2.-30.4.2024.;21045221758;0;0;0;0
Shorts;DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerHE_RETUPGHC_GOO_BRD_SenseIQ_DG_20.2.-30.4.2024.;21045221758;0;0;0;0
