Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Bumper	202501//Bref//Power Active RL 24//Easier Way campaign//video//Bumper//ALL25-34withkids	22149196223	1,044	430,657	0.24%	0.57	1.39	0	0.0	0	0.0	0.00%	597.69
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_influencer	22145754944	2,008	890,861	0.23%	1.24	2.81	434,685	0.01	743.42	3.36	0.14%	2499.77
Non-skippable in-stream	202501//Bref//Power Active RL 24//Easier Way campaign//video//Trueview//ALL25-34	22142822619	643	548,741	0.12%	1.85	2.17	0	0.0	0	0.0	0.00%	1189.85
Non-skippable in-stream	202501//Bref//Power Active RL 24//Easier Way campaign//video//Trueview//F35-54withkids	22142822616	993	437,988	0.23%	1.01	2.28	0	0.0	0	0.0	0.00%	1000.03
Non-skippable in-stream	202501//Bref//Power Active RL 24//Easier Way campaign//video//Trueview//ALL25-34withkids	22142822613	1,006	387,106	0.26%	0.89	2.32	0	0.0	0	0.0	0.00%	898.85
Bumper	202501//Syoss Color//SK Color Oleo Intense 2024//SK Color Oleo Intense 2024//video//Bumper	22142591754	11,202	5,214,055	0.21%	0.61	1.32	0	0.0	0	0.0	0.00%	6868.45
Non-skippable in-stream	202501//Syoss Color//SK Color Oleo Intense 2024//SK Color Oleo Intense 2024//video//Trueview	22142591751	4,295	4,474,732	0.10%	2.44	2.35	0	0.0	0	0.0	0.00%	10497.97
Skippable in-stream	T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_trueview	22139437671	10,740	3,140,865	0.34%	0.67	2.3	939,272	0.01	3,109.55	2.32	0.26%	7219.04
In-feed	T03_001594_HR_NFC_Q10DualActionSerum_AW_Jan25_Mar25_fullf_OMD_DigGR_trueview	22139437671	304	1,598,925	0.02%	2.56	0.49	31,994	0.02	104.94	7.4	0.33%	776.84
Non-skippable in-stream	202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W25-54 - Couple	22136208178	3,193	2,355,342	0.14%	2.18	2.95	0	0.0	0	0.0	0.00%	6954.66
Non-skippable in-stream	202501//Persil//Persil You Always Give Your Best//Persil You Always Give Your Best//video//Trueview//W35-54 - Kitman	22132437335	4,538	2,261,460	0.20%	1.53	3.08	0	0.0	0	0.0	0.00%	6959.72
Skippable in-stream	T03_000055_HR_NBD_BodyMilk_CO_Jan25_Feb25_fullf_OMD_DigGR_Trueview	22129240939	4,732	1,707,285	0.28%	1.06	2.93	887,699	0.01	1,776.41	2.81	0.16%	4999.7
