Ad format	Campaign	Campaign ID	Clicks	Impr.	CTR	Avg. CPC	Avg. CPM	TrueView views	TrueView avg. CPV	Conversions	Cost / conv.	Conv. rate	Cost
Skippable in-stream	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025	23136085091	99	181,956	0.05%	2.92	1.59	65,511	0.0	0	0.0	0.00%	289.23
In-feed	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025	23136085091	10	798,746	0.00%	26.48	0.33	18,135	0.01	0	0.0	0.00%	264.77
Bumper	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025	23136085091	303	725,676	0.04%	3.02	1.26	0	0.0	0	0.0	0.00%	913.6
Shorts	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025	23136085091	534	774,701	0.07%	1.0	0.69	8,218	0.07	4	133.58	0.02%	534.31
In-feed	DG_OMD_HR-HR_OHC_PTB_PTBPremium_Prestige9900S_RECMTPTB_GOO_BRD_Sonicare_15.10.-24.12.2025	23136083489	13,925	664,789	2.09%	0.11	2.25	0	0.0	29.01	51.63	0.21%	1497.95
In-feed	McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper	23128436618	17	689,523	0.00%	13.16	0.32	7,829	0.03	4.8	46.57	0.05%	223.65
Bumper	McDonald's McNuggets III Oct - Nov 2025 (YT) - Bumper	23128436618	691	628,690	0.11%	1.41	1.55	0	0.0	14.18	68.77	2.05%	975.02
Skippable in-stream	McDonald's McNuggets III Oct - Nov 2025 (YT) - CPV	23128434905	555	552,533	0.10%	3.6	3.62	379,846	0.01	108.93	18.35	0.03%	1999.14
Skippable in-stream	vizols_october_2025_youtube_cpm	23121024417	1,612	2,051,524	0.08%	2.97	2.34	732,864	0.01	11.36	422.04	0.00%	4793.85
Shorts	vizols_october_2025_youtube_cpm	23121024417	2,795	2,569,214	0.11%	0.54	0.59	20,293	0.07	20	76.07	0.04%	1521.4
In-feed	McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper	23117041842	20	839,564	0.00%	14.35	0.34	9,017	0.03	15	19.13	0.14%	286.93
Bumper	McDonald's Snack Menu AO Oct - Nov 2025 (YT) - Bumper	23117041842	838	974,582	0.09%	1.45	1.24	0	0.0	69.76	17.39	8.32%	1212.92
Skippable in-stream	McDonald's Snack Menu AO Oct - Nov 2025 (YT) - CPV	23117039682	442	456,259	0.10%	3.39	3.29	304,893	0.0	95.23	15.75	0.03%	1499.87
Skippable in-stream	McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - CPV	23084947105	694	976,734	0.07%	3.6	2.56	652,024	0.0	347.59	7.2	0.05%	2500.99
In-feed	McDonald's Trust II October 2025 (YT) - Bumper	23084692753	14	922,416	0.00%	17.56	0.27	9,134	0.03	0.08	3107.89	0.00%	245.78
Bumper	McDonald's Trust II October 2025 (YT) - Bumper	23084692753	1,277	967,614	0.13%	0.98	1.3	0	0.0	27.99	44.8	2.19%	1253.83
Skippable in-stream	McDonald's Trust II October 2025 (YT) - CPV	23084692750	1,040	810,034	0.13%	2.4	3.08	547,758	0.0	201.78	12.38	0.04%	2498.83
In-feed	McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper	23084523094	7	475,683	0.00%	24.14	0.36	6,691	0.03	28.8	5.87	0.37%	168.99
Bumper	McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - Bumper	23084523094	319	351,179	0.09%	1.27	1.15	0	0.0	5.42	74.78	1.70%	405.2
Skippable in-stream	McDonald's Dessert III Lotus Biscoff Oct - Nove 2025 (YT) - CPV	23080445477	323	327,837	0.10%	3.35	3.3	224,954	0.0	83.58	12.93	0.03%	1081.05
Bumper	McDonald's Snack Menu App Exclusive Oct - Dec 2025 (YT) - Bumper	23074917258	682	1,431,173	0.05%	2.2	1.05	0	0.0	133.95	11.21	19.64%	1500.93
Skippable in-stream	McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - CPV	23062023805	564	267,118	0.21%	1.77	3.74	160,854	0.01	212.46	4.7	0.12%	999.32
In-feed	McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper	23062023277	52	877,691	0.01%	6.61	0.39	12,161	0.03	74.33	4.62	0.51%	343.5
Bumper	McDonald's Srijeda koja vrijedi više AO Sep - Oct (YT) - Bumper	23062023277	311	286,785	0.11%	1.12	1.21	0	0.0	11	31.65	3.54%	348.17
In-feed	McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper	23061820288	6	436,665	0.00%	31.03	0.43	6,924	0.03	14.01	13.29	0.17%	186.16
Bumper	McDonald's McDelivery AO Sep - Oct 2025 (YT) - Bumper	23061820288	519	472,426	0.11%	1.57	1.72	0	0.0	0	0.0	0.00%	814.04
In-feed	McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper	23061447079	91	1,339,179	0.01%	3.76	0.26	11,530	0.03	8.01	42.69	0.06%	341.81
Bumper	McDonald's Coffee AO Sep - Dec 2025 (YT) - Bumper	23061447079	542	1,029,054	0.05%	2.14	1.13	0	0.0	106.06	10.92	19.57%	1158.44
Skippable in-stream	McDonald's Coffee AO Sep - Dec 2025 (YT) - CPV	23057401193	603	798,543	0.08%	4.15	3.13	550,705	0.0	207.48	12.05	0.03%	2500.43
Skippable in-stream	Zott Hungry Oct - Nov 2025 (YT) - Reach Mix	23053538297	519	1,021,602	0.05%	5.01	2.54	378,916	0.01	0	0.0	0.00%	2598.04
Bumper	Zott Hungry Oct - Nov 2025 (YT) - Reach Mix	23053538297	3,971	2,432,707	0.16%	1.0	1.64	0	0.0	0	0.0	0.00%	3986.01
Skippable in-stream	McDonald's McDelivery AO Sep - Oct 2025 (YT) - CPV	23051723493	532	442,201	0.12%	2.82	3.39	296,093	0.01	122.83	12.21	0.04%	1500.11
Skippable in-stream	McDonald's Breakfast AO Sep - Dec 2025 (YT) - CPV	23051178150	651	810,474	0.08%	3.84	3.08	550,206	0.0	234.31	10.67	0.04%	2499.9
In-feed	McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper	23051177880	18	531,645	0.00%	13.65	0.46	9,777	0.03	7.79	31.54	0.07%	245.72
Bumper	McDonald's Breakfast AO Sep - Dec 2025 (YT) - Bumper	23051177880	899	774,676	0.12%	1.4	1.62	0	0.0	180.72	6.94	20.10%	1254.26
In-feed	McDonald's MOP Sep - Nov 2025 (YT) - Bumper	23038275832	12	605,572	0.00%	21.51	0.43	9,696	0.03	5.01	51.56	0.04%	258.12
Bumper	McDonald's MOP Sep - Nov 2025 (YT) - Bumper	23038275832	764	740,986	0.10%	1.63	1.68	0	0.0	111.46	11.15	14.59%	1242.81
Skippable in-stream	McDonald's MOP Sep - Nov 2025 (YT) - CPV	23038260706	610	694,830	0.09%	3.61	3.17	474,069	0.0	214.51	10.26	0.04%	2200.97
Skippable in-stream	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.	23035809352	255	254,667	0.10%	2.09	2.09	73,394	0.01	0	0.0	0.00%	533.37
In-feed	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.	23035809352	22	685,200	0.00%	13.22	0.42	9,787	0.03	9	32.32	0.07%	290.9
Bumper	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.	23035809352	767	751,490	0.10%	1.58	1.61	0	0.0	0	0.0	0.00%	1213.26
Shorts	VID_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.	23035809352	859	422,701	0.20%	0.3	0.62	5,340	0.05	1	260.17	0.01%	260.17
In-feed	DG_OMD_HR-HR_GB_BEA_HairCare_Straight&CurlerCore_NA_GOO_BRD_SenseIQ_10.09.-30.10.2025.	23025722586	16,003	876,801	1.83%	0.11	2.01	0	0.0	18.02	97.94	0.11%	1765.38
Skippable in-stream	reflustat_september_2025_youtube_fc_cpm	23024710483	1,980	2,894,661	0.07%	2.65	1.81	995,553	0.01	9.65	544.12	0.00%	5248.37
Bumper	reflustat_september_2025_youtube_fc_cpm	23024710483	3,097	3,830,364	0.08%	1.7	1.38	0	0.0	1	5278.03	0.03%	5278.03
Bumper	Zott Protein Sep - Oct 2025 (YT) - Bumper - CPM	23008688854	1,441	1,363,753	0.11%	1.29	1.37	0	0.0	0	0.0	0.00%	1863.91
Shorts	Zott Protein Sep - Oct 2025 (YT) - Bumper - CPM	23008688854	348	280,218	0.12%	0.39	0.49	7,305	0.02	0	0.0	0.00%	136.7
Skippable in-stream	Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV	23008688560	1,010	1,514,825	0.07%	4.59	3.06	1,080,830	0.0	0	0.0	0.00%	4636.78
In-feed	Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV	23008688560	12	444,582	0.00%	17.77	0.48	25,353	0.01	0	0.0	0.00%	213.19
Shorts	Zott Protein Sep - Oct 2025 (YT) - TrueView - CPV	23008688560	644	234,066	0.28%	0.23	0.64	9,977	0.02	0	0.0	0.00%	150.91
Skippable in-stream	Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV	23005394785	589	965,829	0.06%	4.95	3.02	677,667	0.0	0	0.0	0.00%	2914.44
In-feed	Zott Jogobella Sept - Oct 2025 (YT) - TrueView - CPV	23005394785	19	322,028	0.01%	4.52	0.27	8,011	0.01	0	0.0	0.00%	85.95
Bumper	Zott Jogobella Sept - Oct 2025 (YT) - Bumper - CPM	23001363809	447	729,333	0.06%	2.24	1.37	0	0.0	0	0.0	0.00%	1000.45
Skippable in-stream	McDonald's Snack Menu Sep - Oct 2025 (YT) - CPV	23000376953	1,229	1,159,811	0.11%	2.85	3.02	770,090	0.0	593.15	5.9	0.07%	3499.62
In-feed	McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper	22994092464	38	1,306,340	0.00%	11.4	0.33	15,230	0.03	38.69	11.2	0.22%	433.21
Bumper	McDonald's Snack Menu Sep - Oct 2025 (YT) - Bumper	22994092464	1,744	1,735,106	0.10%	1.18	1.19	0	0.0	24.06	85.9	1.38%	2066.45
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.	22983748780	371	309,374	0.12%	1.4	1.68	87,240	0.01	4	130.14	0.00%	520.57
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.	22983748780	21	867,898	0.00%	13.48	0.33	18,446	0.02	1	283.07	0.00%	283.07
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.	22983748780	1,245	1,043,416	0.12%	1.12	1.34	0	0.0	0	0.0	0.00%	1398.88
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade_3.9.-5.10.	22983748780	579	555,222	0.10%	0.51	0.54	8,006	0.04	4	74.37	0.03%	297.49
Skippable in-stream	McDonald's Maestro IV Sep - Oct 2025 (YT) - CPV	22982571265	1,041	1,074,920	0.10%	3.36	3.26	737,518	0.0	424.21	8.25	0.05%	3500.2
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.	22980662139	620	244,544	0.25%	0.77	1.95	55,741	0.01	2	237.93	0.00%	475.86
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.	22980662139	13	273,987	0.00%	8.88	0.42	6,658	0.02	0	0.0	0.00%	115.47
Bumper	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.	22980662139	676	298,137	0.23%	0.78	1.76	0	0.0	0	0.0	0.00%	525.83
Shorts	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Teens_5.9.-15.10.2025.	22980662139	159	126,373	0.13%	0.52	0.65	1,688	0.05	0	0.0	0.00%	81.93
Skippable in-stream	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.	22980662127	1,234	431,840	0.29%	0.64	1.83	110,095	0.01	4.15	190.71	0.00%	792.11
In-feed	VID_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_1st Shave_Parents_5.9.-15.10.2025.	22980662127	5	296,691	0.00%	21.32	0.36	2,342	0.05	0	0.0	0.00%	106.59
In-feed	McDonald's MOP Aug - Sep 2025 (YT) - Bumper	22974152623	27	1,004,638	0.00%	11.48	0.31	12,868	0.02	17.01	18.22	0.11%	309.93
Bumper	McDonald's MOP Aug - Sep 2025 (YT) - Bumper	22974152623	1,381	1,466,251	0.09%	1.22	1.15	0	0.0	28.74	58.75	2.08%	1688.28
In-feed	McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper	22972236465	27	1,493,461	0.00%	17.64	0.32	17,443	0.03	46.29	10.29	0.22%	476.21
Bumper	McDonald's Maestro IV Sep - Oct 2025 (YT) - Bumper	22972236465	1,714	1,667,958	0.10%	1.18	1.21	0	0.0	81.43	24.86	4.75%	2024.04
Skippable in-stream	McDonald's MOP Aug - Sep 2025 (YT) - CPV	22969983779	885	844,730	0.10%	2.82	2.96	556,562	0.0	386.31	6.47	0.06%	2499.01
Skippable in-stream	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	6,202	1,499,048	0.41%	0.87	3.62	673,816	0.01	0	0.0	0.00%	5420.1
In-feed	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	7	103,732	0.01%	10.33	0.7	4,363	0.02	0	0.0	0.00%	72.33
Shorts	Zott Monte Aug - Sep 2025 (YT) - TrueView - CPV	22946567491	0	373	0.00%	0.0	1.65	19	0.03	0	0.0	0.00%	0.62
Skippable in-stream	McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV	22931314702	4,332	917,660	0.47%	0.78	3.67	387,485	0.01	1,453.49	2.32	0.30%	3367.24
Shorts	McDonald's Employer Image III - Young Adults - Aug - Sep 2025 (VVC) - CPV	22931314702	508	194,033	0.26%	0.26	0.67	5,444	0.02	25.11	5.18	0.29%	130.08
Skippable in-stream	McDonald's Employer Image III Aug - Sep 2025 (YT) - CPV	22921320684	1,117	1,036,209	0.11%	2.24	2.41	672,148	0.0	371.31	6.73	0.05%	2499.1
Skippable in-stream	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	11,184	266,198	4.20%	0.02	0.91	42,144	0.01	360.27	0.67	0.47%	241.21
In-feed	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	54,498	3,632,577	1.50%	0.02	0.33	861	0.6	2,988.56	0.4	4.91%	1202.44
Shorts	McDonald's Employer Image III Aug - Sep 2025 (Demand Gen) - CPC	22921219638	2,677	347,794	0.77%	0.02	0.16	4,245	0.01	299.68	0.19	2.90%	56.71
In-feed	McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper	22895981650	20	759,676	0.00%	8.98	0.24	12,415	0.01	28.61	6.28	0.20%	179.55
Bumper	McDonald's Opusteno Dopusteno II August 2025 (YT) - Bumper	22895981650	1,389	1,266,716	0.11%	0.95	1.04	0	0.0	10.03	131.62	0.72%	1320.5
Skippable in-stream	McDonald's Opusteno Dopusteno II August 2025 (YT) - CPV	22895928142	976	1,035,085	0.09%	2.56	2.41	702,340	0.0	643.49	3.88	0.08%	2499.43
In-feed	McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper	22892098685	19	1,277,794	0.00%	19.87	0.3	22,376	0.02	66.91	5.64	0.26%	377.54
Bumper	McDonald's McCrispy AO Aug - Sep 2025 (YT) - Bumper	22892098685	1,528	1,542,496	0.10%	1.06	1.05	0	0.0	178.01	9.12	11.65%	1622.78
Skippable in-stream	McDonald's McCrispy AO Aug - Sep 2025 (YT) - CPV	22886402763	811	979,256	0.08%	3.08	2.55	676,872	0.0	252.07	9.92	0.03%	2500.44
Skippable in-stream	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121	235	189,876	0.12%	1.73	2.14	133,548	0.0	48.52	8.37	0.03%	406.19
In-feed	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121	0	250	0.00%	0.0	1.8	16	0.03	0	0.0	0.00%	0.45
Shorts	McDonald's HM TMNT x Sanrio August 2025 (YT) - CPV	22872439121	0	29	0.00%	0.0	0.0	0	0.0	0	0.0	0.00%	0.0
In-feed	McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper	22866665976	2	121,280	0.00%	20.99	0.35	3,164	0.01	4	10.5	0.11%	41.98
Bumper	McDonald's HM TMNT x Sanrio August 2025 (YT) - Bumper	22866665976	157	130,274	0.12%	1.09	1.32	0	0.0	6	28.54	3.82%	171.32
Skippable in-stream	McDonald's McNuggets II July - August 2025 - CPV	22818941470	568	747,912	0.08%	3.13	2.37	532,939	0.0	349.19	5.08	0.06%	1775.47
In-feed	McDonald's McNuggets II July - August 2025 - CPV	22818941470	5	201,077	0.00%	20.15	0.5	15,111	0.01	26.03	3.87	0.11%	100.77
Shorts	McDonald's McNuggets II July - August 2025 - CPV	22818941470	507	227,817	0.22%	0.25	0.55	9,592	0.01	97.27	1.29	0.31%	125.24
In-feed	McDonald's McNuggets II July - August 2025 - Bumper	22809289179	8	577,002	0.00%	18.66	0.26	11,626	0.01	69.82	2.14	0.52%	149.3
Bumper	McDonald's McNuggets II July - August 2025 - Bumper	22809289179	799	864,621	0.09%	1.07	0.98	0	0.0	31	27.46	3.88%	851.34
Skippable in-stream	lactogyn_june_2025_youtube_fc_cpm	22791527244	6,234	4,845,969	0.13%	1.46	1.88	1,430,724	0.01	12.13	749.51	0.00%	9090.25
Skippable in-stream	McDonald's HM Lil McD's July 2025 (YT) - CPV	22784870398	699	562,622	0.12%	2.56	3.18	365,426	0.0	374.91	4.77	0.09%	1788.3
Bumper	McDonald's HM Lil McD's July 2025 (YT) - Bumper	22775346894	540	456,687	0.12%	1.3	1.54	0	0.0	13.69	51.43	2.54%	704.25
In-feed	McDonald's Mixology July 2025 (YT) - Bumper	22765251787	12	333,101	0.00%	9.57	0.34	8,542	0.01	54.5	2.11	0.54%	114.86
Bumper	McDonald's Mixology July 2025 (YT) - Bumper	22765251787	493	454,970	0.11%	1.39	1.51	0	0.0	24.31	28.16	4.93%	684.78
Skippable in-stream	McDonald's Mixology July 2025 (YT) - CPV	22761591506	495	413,288	0.12%	2.42	2.9	277,406	0.0	144.89	8.28	0.05%	1199.43
Skippable in-stream	McDonald's Breakfast July - September 2025 (YT) - CPV	22743236866	807	838,959	0.10%	3.1	2.98	585,680	0.0	551.63	4.53	0.08%	2497.91
In-feed	McDonald's McCrispy July 2025 (YT) - Bumper	22742489014	18	762,643	0.00%	9.91	0.23	12,405	0.01	7.69	23.2	0.05%	178.38
Bumper	McDonald's McCrispy July 2025 (YT) - Bumper	22742489014	1,497	1,211,616	0.12%	0.88	1.09	0	0.0	72	18.33	4.81%	1319.63
In-feed	McDonald's Breakfast July - September 2025 (YT) - Bumper	22739492762	30	803,941	0.00%	10.01	0.37	20,028	0.01	24	12.51	0.10%	300.17
Bumper	McDonald's Breakfast July - September 2025 (YT) - Bumper	22739492762	1,272	815,423	0.16%	0.94	1.47	0	0.0	76.95	15.58	6.05%	1198.99
In-feed	McDonald's McDelivery July - September 2025 (YT) - Bumper	22739006393	44	1,286,294	0.00%	9.13	0.31	24,708	0.02	40.57	9.9	0.14%	401.84
Bumper	McDonald's McDelivery July - September 2025 (YT) - Bumper	22739006393	1,543	1,529,677	0.10%	1.36	1.37	0	0.0	18.35	114.45	1.19%	2099.93
Skippable in-stream	McDonald's McCrispy July 2025 (YT) - CPV	22738912700	1,066	810,143	0.13%	2.34	3.08	519,505	0.0	348.78	7.16	0.06%	2497.24
In-feed	McDonald's IceCoffe June - August 2025 (YT) - Bumper	22738859515	21	1,213,238	0.00%	17.19	0.3	22,251	0.02	61.22	5.9	0.24%	360.99
Bumper	McDonald's IceCoffe June - August 2025 (YT) - Bumper	22738859515	1,776	1,544,911	0.11%	1.2	1.38	0	0.0	119.44	17.91	6.73%	2139.7
In-feed	JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC	22738852523	16,229	760,166	2.13%	0.02	0.43	0	0.0	0.03	12114.53	0.00%	325.08
Shorts	JGL Muzej farmacije TUR Jul - Aug 2025 (DG) - CPC	22738852523	0	118	0.00%	0.0	0.23	0	0.0	0	0.0	0.00%	0.03
In-feed	JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC	22738795586	11,738	486,722	2.41%	0.02	0.5	0	0.0	5.03	48.75	0.04%	245.0
Shorts	JGL Muzej farmacije HR Jul - Aug 2025 (DG) - CPC	22738795586	2	339	0.59%	0.04	0.21	0	0.0	0	0.0	0.00%	0.07
Skippable in-stream	McDonald's Maestro III June-August 2025 (YT) - CPV	22738216012	1,486	1,083,456	0.14%	2.05	2.81	716,236	0.0	557.61	5.45	0.07%	3041.11
In-feed	McDonald's Maestro III June-August 2025 (YT) - Bumper	22738160776	35	1,229,951	0.00%	9.88	0.28	24,899	0.01	82.91	4.17	0.29%	345.66
Bumper	McDonald's Maestro III June-August 2025 (YT) - Bumper	22738160776	1,937	1,637,947	0.12%	0.99	1.17	0	0.0	111	17.28	5.73%	1918.57
In-feed	McDonald's Coffee July - September 2025 (YT) - Bumper	22733055054	58	1,487,180	0.00%	5.71	0.22	21,762	0.02	29.67	11.17	0.12%	331.33
Bumper	McDonald's Coffee July - September 2025 (YT) - Bumper	22733055054	863	1,389,037	0.06%	1.35	0.84	0	0.0	72.08	16.22	8.35%	1169.06
Skippable in-stream	McDonald's Coffee July - September 2025 (YT) - CPV	22733053338	921	860,386	0.11%	2.71	2.91	606,670	0.0	364.53	6.86	0.05%	2500.29
Skippable in-stream	McDonald's McDelivery July - September 2025 (YT) - CPV	22732857306	1,373	1,078,250	0.13%	2.26	2.88	694,448	0.0	506.78	6.12	0.07%	3101.93
Skippable in-stream	McDonald's Grimace May - July 2025 (YT) - CPV	22728306162	1,746	1,232,277	0.14%	2.18	3.08	738,853	0.01	919.34	4.13	0.11%	3800.92
Skippable in-stream	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	100	207,895	0.05%	3.51	1.69	70,439	0.0	7	50.1	0.01%	350.68
In-feed	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	4	351,264	0.00%	27.99	0.32	12,163	0.01	0	0.0	0.00%	111.95
Bumper	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	1,593	1,036,443	0.15%	0.73	1.12	0	0.0	2.82	411.23	0.18%	1160.32
Shorts	VID_OMD_HR-HR_OHC_PTB_PTBPremium_Sonicare8000S_RECMTPTB_GOO_BRD_Sonicare Prismatic_25.6.-20.7.2025.	22725272300	915	702,503	0.13%	0.41	0.53	9,128	0.04	22	17.08	0.15%	375.75
In-feed	McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper	22710122542	25	1,023,187	0.00%	13.35	0.33	22,753	0.01	120.15	2.78	0.45%	333.66
Bumper	McDonald's Pistachio Desert II June - August 2025 (YT) - Bumper	22710122542	1,371	1,070,532	0.13%	1.22	1.56	0	0.0	120.23	13.86	8.77%	1666.83
Skippable in-stream	McDonald's Pistachio Desert II June - August 2025 (YT) - CPV	22706177735	1,097	1,049,657	0.10%	2.74	2.86	687,404	0.0	481.53	6.23	0.06%	3000.55
Skippable in-stream	VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO	22691381184	150	241,335	0.06%	4.61	2.87	88,611	0.01	16.98	40.76	0.02%	692.09
In-feed	VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO	22691381184	12	398,824	0.00%	12.73	0.38	11,052	0.01	3.52	43.45	0.02%	152.81
Bumper	VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO	22691381184	1,807	779,231	0.23%	0.77	1.78	0	0.0	8.7	159.16	0.48%	1385.08
Shorts	VID_OMD_HR-HR_ALL_CrossBU_CrossProduct_CrossProduct_NA_GOO_BRD_Webshop_Campaign_CRO	22691381184	506	361,421	0.14%	0.53	0.74	3,993	0.07	32	8.4	0.48%	268.94
Skippable in-stream	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - CPV	22684510476	4,236	1,970,700	0.21%	1.42	3.04	1,193,998	0.01	1,384.85	4.33	0.10%	5999.54
In-feed	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper	22684499418	571	6,949,537	0.01%	4.68	0.38	129,336	0.02	457.07	5.85	0.30%	2672.82
Bumper	McDonald's Srijeda koja vrijedi više AO June - September 2025 (YT) - Bumper	22684499418	2,366	1,964,505	0.12%	0.98	1.18	0	0.0	401.01	5.79	16.95%	2323.67
In-feed	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.	22679748705	83,126	4,686,535	1.77%	0.02	0.39	0	0.0	1,208.37	1.52	1.45%	1837.4
Shorts	DG_OMD_HR-HR_GB_OG_OneBladeOther_OneBladeComm.Inn._RECMANOB_GOO_BRD_One Blade 16.6.-20.8.2025.	22679748705	369	89,482	0.41%	0.03	0.14	0	0.0	13	0.97	3.52%	12.61
In-feed	McDonald's McNuggets June 2025 - Bumper	22661560940	19	699,503	0.00%	6.33	0.17	5,548	0.02	9.01	13.35	0.14%	120.22
Bumper	McDonald's McNuggets June 2025 - Bumper	22661560940	804	854,769	0.09%	1.09	1.03	0	0.0	292.92	3.0	36.43%	879.77
Skippable in-stream	McDonald's McNuggets June 2025 - CPV	22655446491	711	728,734	0.10%	3.52	3.43	481,718	0.01	698.31	3.58	0.13%	2499.87
Skippable in-stream	McDonald's Happy Meal Squiishmallows June 2025 - CPV	22636378057	871	873,642	0.10%	3.44	3.43	538,838	0.01	747.87	4.01	0.12%	2999.25
Skippable in-stream	McDonald's Employer Image II May - June 2025 (YT) - CPV	22633085185	415	434,991	0.10%	3.61	3.45	293,259	0.01	718.16	2.09	0.22%	1499.41
In-feed	McDonald's Grimace Exclusive June 2025 (YT) - Bumper	22632976000	21	260,924	0.01%	2.85	0.23	5,615	0.01	53.68	1.12	0.83%	59.89
Bumper	McDonald's Grimace Exclusive June 2025 (YT) - Bumper	22632976000	505	410,664	0.12%	1.03	1.26	0	0.0	166.54	3.11	32.98%	518.65
